lat,lng,hours,vessels
-1.95,-155.25,1.640555556,1
-1.95,-155.35,5.333472222,1
-1.95,-156.75,0.930555556,1
-1.95,-156.95,6.710416667,2
-1.95,-157.05,3.402083333,2
-1.95,-157.15,3.168472222,2
-1.95,-157.25,4.188888889,2
-1.95,-157.35,1.7525,1
-1.95,-157.45,3.064027778,1
-1.95,-163.65,0.812222222,1
-1.95,-165.95,1.260833333,1
-1.95,-166.25,1.420694444,1
-1.95,-166.35,1.237638889,1
-1.95,-166.55,1.25,1
-1.95,-166.65,1.475416667,1
-1.95,-18.15,4.902916667,1
-1.95,151.85,2.4125,1
-1.95,151.95,0.804027778,1
-1.95,174.05,0.844305556,1
-1.95,174.15,0.847638889,2
-1.95,52.85,1.560833333,1
-1.95,52.95,2.87,1
-1.95,53.05,2.214444444,1
-1.95,68.75,3.393194444,1
-1.95,68.95,2.915833333,1
-1.95,69.05,9.725694444,1
-10.05,-0.55,1.039861111,1
-10.05,-0.95,0.183055556,1
-10.05,-1.05,1.141527778,1
-10.05,-1.15,1.064166667,1
-10.05,-1.25,1.100972222,1
-10.05,-1.35,0.989861111,1
-10.05,-1.55,2.343611111,1
-10.05,-109.25,1.025416667,1
-10.05,-109.35,0.795416667,1
-10.05,-112.55,1.673333333,1
-10.05,-115.65,0.844722222,1
-10.05,-115.75,1.390277778,1
-10.05,-115.95,0.469166667,1
-10.05,-143.85,4.886944444,1
-10.05,-143.95,4.882916667,1
-10.05,-171.15,0.779583333,1
-10.05,-171.25,1.054444444,1
-10.05,-79.45,2.048611111,1
-10.05,0.45,3.379861111,1
-10.05,153.75,0.749583333,1
-10.05,153.85,1.304166667,1
-10.05,153.95,1.194583333,1
-10.05,154.05,1.384166667,1
-10.05,154.15,1.454583333,1
-10.05,159.35,0.563888889,1
-10.05,3.85,2.115833333,1
-10.05,50.05,6.095,1
-10.05,59.35,0.879444444,1
-10.05,59.45,1.687083333,1
-10.05,6.45,0.5875,1
-10.05,6.55,2.035138889,1
-10.05,65.95,1.767222222,1
-10.05,66.05,1.944305556,1
-10.05,66.15,1.653888889,1
-10.15,-0.65,5.094166667,1
-10.15,-1.55,0.669305556,1
-10.15,-1.65,1.027222222,1
-10.15,-109.35,2.149444444,1
-10.15,-109.45,0.099861111,1
-10.15,-112.55,0.718611111,1
-10.15,-115.85,0.652916667,1
-10.15,-115.95,0.780694444,1
-10.15,-79.45,2.966388889,1
-10.15,0.25,1.654444444,1
-10.15,0.35,1.908472222,1
-10.15,0.45,6.286111111,1
-10.15,12.85,6.391527778,1
-10.15,154.25,0.880416667,1
-10.15,154.35,1.995833333,1
-10.15,3.75,1.558611111,1
-10.15,3.85,0.779583333,1
-10.15,59.35,1.979305556,1
-10.15,59.45,2.929583333,1
-10.15,66.05,2.698611111,1
-10.25,-109.35,0.574444444,1
-10.25,-109.45,2.254583333,1
-10.25,-112.45,1.000555556,1
-10.25,-115.85,0.409583333,1
-10.25,-115.95,0.934861111,1
-10.25,-118.45,1.308333333,1
-10.25,0.25,3.383333333,1
-10.25,0.45,0.775138889,1
-10.25,12.85,1.57625,1
-10.25,12.95,1.263888889,1
-10.25,154.15,0.775,1
-10.25,154.25,0.524722222,1
-10.25,154.35,0.387638889,1
-10.25,154.45,0.7125,1
-10.25,154.55,0.416527778,1
-10.25,158.45,5.420694444,1
-10.25,3.75,1.361944444,1
-10.25,3.85,0.557777778,1
-10.25,48.25,2.2375,1
-10.25,59.55,4.327361111,1
-10.25,59.75,7.670277778,1
-10.25,59.85,1.615416667,1
-10.25,6.05,7.140555556,1
-10.25,61.65,6.499305556,1
-10.35,-109.35,0.490833333,1
-10.35,-109.45,2.87125,1
-10.35,-109.55,0.902777778,1
-10.35,-112.45,0.554583333,1
-10.35,-118.45,0.708333333,1
-10.35,-129.35,0.765277778,1
-10.35,-143.85,5.475,1
-10.35,-143.95,0.790694444,1
-10.35,-144.05,1.21375,1
-10.35,-144.15,5.428888889,1
-10.35,-144.35,10.84361111,1
-10.35,0.35,4.449305556,1
-10.35,0.45,3.824861111,1
-10.35,12.95,3.00125,1
-10.35,134.35,1.566666667,1
-10.35,136.85,8.170555556,1
-10.35,154.05,0.729166667,1
-10.35,158.45,6.216666667,1
-10.35,158.55,4.880972222,1
-10.35,2.55,2.534444444,1
-10.35,3.45,0.5625,1
-10.35,3.75,2.487222222,1
-10.35,3.85,2.258055556,1
-10.35,59.55,1.899861111,1
-10.35,59.65,9.391944444,1
-10.35,59.85,0.804444444,1
-10.35,6.55,3.941527778,1
-10.35,61.65,18.63819444,1
-10.45,-109.45,1.684722222,1
-10.45,-109.55,0.421805556,1
-10.45,-112.35,0.645694444,1
-10.45,-113.05,6.179305556,1
-10.45,-118.45,0.508194444,1
-10.45,-129.35,1.352916667,1
-10.45,-129.45,1.480833333,1
-10.45,-129.55,1.721805556,1
-10.45,-129.65,0.454027778,1
-10.45,-132.45,5.33125,1
-10.45,-132.55,1.592638889,1
-10.45,-134.45,11.03013889,1
-10.45,-134.55,6.557361111,1
-10.45,-134.65,0.797916667,1
-10.45,-134.75,0.798194444,1
-10.45,-143.85,4.521388889,1
-10.45,-143.95,1.1625,1
-10.45,-144.05,0.817083333,1
-10.45,-144.15,0.848055556,1
-10.45,-144.25,5.328055556,1
-10.45,0.35,2.962361111,1
-10.45,12.95,25.00013889,2
-10.45,13.05,16.06833333,2
-10.45,134.45,2.391527778,1
-10.45,153.85,1.500138889,1
-10.45,153.95,0.495972222,1
-10.45,154.05,1.174861111,1
-10.45,158.45,0.429305556,1
-10.45,2.55,0.254027778,1
-10.45,2.65,1.756388889,1
-10.45,2.95,1.302916667,1
-10.45,3.05,1.020694444,1
-10.45,3.15,0.80875,1
-10.45,3.45,1.83,1
-10.45,3.75,0.0775,1
-10.45,3.85,0.655138889,1
-10.45,3.95,0.662777778,1
-10.45,58.25,5.749027778,1
-10.45,58.75,2.4,1
-10.45,58.85,0.2625,1
-10.55,-109.35,5.374861111,1
-10.55,-109.45,1.135138889,1
-10.55,-109.55,0.608472222,1
-10.55,-112.35,0.521111111,1
-10.55,-113.05,11.96236111,1
-10.55,-118.45,0.608333333,1
-10.55,-118.85,2.259861111,1
-10.55,-118.95,2.056666667,1
-10.55,-119.05,0.825,1
-10.55,-119.15,1.304444444,1
-10.55,-119.25,1.370694444,1
-10.55,-119.35,1.341805556,1
-10.55,-119.45,2.030416667,1
-10.55,-129.65,1.782083333,1
-10.55,-132.55,5.422222222,1
-10.55,-134.75,0.388611111,1
-10.55,-134.85,4.811388889,1
-10.55,13.05,5.586111111,1
-10.55,134.05,4.012638889,1
-10.55,134.15,3.404583333,1
-10.55,134.25,6.022222222,1
-10.55,134.35,2.087777778,1
-10.55,137.05,11.05013889,1
-10.55,158.65,2.08875,1
-10.55,158.75,2.279583333,1
-10.55,2.65,0.688611111,1
-10.55,2.75,1.922916667,1
-10.55,2.85,1.794166667,1
-10.55,2.95,0.366527778,1
-10.55,3.15,0.415416667,1
-10.55,3.25,0.34625,1
-10.55,3.45,1.078194444,1
-10.55,3.95,0.645694444,1
-10.55,4.05,2.30625,1
-10.55,58.25,0.83875,1
-10.55,58.75,3.774861111,1
-10.55,58.85,0.779444444,1
-10.55,62.95,2.611111111,1
-10.55,63.05,0.981944444,1
-10.55,90.25,3.575416667,1
-10.65,-109.45,2.663611111,1
-10.65,-112.25,0.925555556,1
-10.65,-113.05,6.065416667,1
-10.65,-118.45,0.266805556,1
